start_station_name,start_lat,start_lng
Moffat St & Bushwick,40.68478632,-73.909162402
Pacific St & Nevins St,40.685234547,-73.982625246
Halsey St & Broadway,40.685696959,-73.915743828
Decatur St & Saratoga Ave,40.68336463,-73.917095304
Monroe St & Bedford Ave,40.6851443,-73.95380904
Warren St & Smith St,40.68542400997018,-73.99127773940563
Picnic Point,40.68512559515415,-74.02535319328308
Jefferson Ave & Patchen Ave,40.68609,-73.92628
Cambridge Pl & Gates Ave,40.68488,-73.96304
Henry St & Degraw St,40.6847514,-73.99917254
Hancock St & Stuyvesant Ave,40.68454,-73.9322
Fulton St & Clermont Ave,40.684153676,-73.969272256
Putnam Ave & Throop Ave,40.685140729,-73.941188216
Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
Eldert St & Bushwick Ave,40.686505437,-73.913210034
Bond St & Bergen St,40.6849668,-73.98620772
Macon St & Howard Ave,40.684506655,-73.919975519
Warren St & Court St,40.686371,-73.99383324
Madison St & Malcolm X Blvd,40.687118292,-73.930011392
Washington Ave & Greene Ave,40.686449409,-73.965586066
Columbia St & Degraw St,40.6859296,-74.00242364
Columbia St & Kane St,40.68763155,-74.0016256
Lewis Ave & Madison St,40.686312,-73.935775
Cumberland St & Lafayette Ave,40.68753406,-73.97265183
Central Ave & Decatur St,40.688177466,-73.907890201
Monroe St & Tompkins Ave,40.686203,-73.944694
3 Ave & Schermerhorn St,40.68683208,-73.9796772
Nevins St & Schermerhorn St,40.687462807,-73.981794357
Yankee Ferry Terminal,40.68706579875912,-74.01675585121666
Broadway & Hancock St,40.68663,-73.9168
Bergen St & Smith St,40.6867443,-73.99063168
Pacific St & Smith St,40.687880939612775,-73.98939281702042
Dean St & Hoyt St,40.6864442,-73.98759104
Putnam Ave & Ralph Ave,40.68705,-73.92338
Lafayette Ave & Classon Ave,40.689052105,-73.960280657
Lexington Ave & Classon Ave,40.68676793,-73.95928168
Congress St & Clinton St,40.68825516598005,-73.99545192718506
Kane St & Clinton St,40.6861758,-73.99645295
Stuyvesant Ave & Gates Ave,40.688452125,-73.933131099
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
Monroe St & Marcus Garvey Blvd,40.686722,-73.938988
Lafayette Ave & Ft Greene Pl,40.68700231292619,-73.97664964199066
Halsey St & Evergreen Ave,40.688783646,-73.912148237
Marcy Ave & Lafayette Ave,40.6900815,-73.947915
Bond St & Fulton St,40.68945992,-73.983120799
Schermerhorn St & Hoyt St,40.6886263,-73.9851911
Broadway & Madison St,40.68822,-73.91966
Court St & State St,40.690213442,-73.992070436
Monroe St & Patchen Ave,40.68814,-73.92693
Lafayette Ave & St James Pl,40.68851534,-73.9647628
Congress St & Hicks St,40.6893952,-73.9995126
Lexington Ave & Stuyvesant Ave,40.68973,-73.93353
Wilson Ave & Moffat St,40.68906,-73.90506
Greene Ave & Throop Ave,40.689495564,-73.942029357
DeKalb Ave & Hudson Ave,40.689888,-73.981013
Ashland Pl & Dekalb Ave,40.690065,-73.978776
Jefferson Ave & Evergreen Ave,40.690011382,-73.914573908
Greene Ave & Nostrand Ave,40.688360214,-73.951030374
Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
State St & Smith St,40.68917,-73.9886
Grove St & Broadway,40.690487742,-73.923517585
DeKalb Ave & Franklin Ave,40.690630436,-73.957563877
