end_station_id,time_period,end_station_name,end_lat,end_lng,average_ride_time,riders,daily_riders
3084.05,overnight,52 St & 6 Ave,40.642703,-74.009441,2.0,3,0.03333333333333333
3090.06,afternoon,Church Ave & McDonald Ave,40.642809,-73.979239,22.195652173913043,92,1.0222222222222221
3090.06,evening,Church Ave & McDonald Ave,40.642809,-73.979239,15.941176470588236,68,0.7555555555555555
3090.06,morning,Church Ave & McDonald Ave,40.642809,-73.979239,14.380952380952381,42,0.4666666666666667
3090.06,overnight,Church Ave & McDonald Ave,40.642809,-73.979239,76.5,8,0.08888888888888889
3093.07,afternoon,57 St & 4 Ave,40.642622,-74.016866,16.00990099009901,101,1.1222222222222222
3093.07,evening,57 St & 4 Ave,40.642622,-74.016866,15.616822429906541,107,1.1888888888888889
3093.07,morning,57 St & 4 Ave,40.642622,-74.016866,13.114285714285714,35,0.3888888888888889
3093.07,overnight,57 St & 4 Ave,40.642622,-74.016866,7.142857142857143,7,0.07777777777777778
3117.05,afternoon,46 St & 7 Ave,40.644743,-74.003754,17.401360544217688,147,1.6333333333333333
3117.05,evening,46 St & 7 Ave,40.644743,-74.003754,11.817708333333334,192,2.1333333333333333
3117.05,morning,46 St & 7 Ave,40.644743,-74.003754,9.456521739130435,46,0.5111111111111111
3117.05,overnight,46 St & 7 Ave,40.644743,-74.003754,11.076923076923077,26,0.28888888888888886
3125.09,afternoon,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,47.0,8,0.08888888888888889
3125.09,evening,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,18.833333333333332,6,0.06666666666666667
3125.09,morning,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,6.0,1,0.011111111111111112
3125.09,overnight,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,24.25,4,0.044444444444444446
3129.08,afternoon,53 St & 5 Ave,40.643371,-74.011884,8.652173913043478,92,1.0222222222222221
3129.08,evening,53 St & 5 Ave,40.643371,-74.011884,11.333333333333334,69,0.7666666666666667
3129.08,morning,53 St & 5 Ave,40.643371,-74.011884,11.170731707317072,41,0.45555555555555555
3129.08,overnight,53 St & 5 Ave,40.643371,-74.011884,19.0,6,0.06666666666666667
3161.02,afternoon,46 St & 6 Ave,40.645921,-74.005708,13.014778325123153,203,2.2555555555555555
